SAMPLE_NAME,REPORT_YEAR,POPULATION_NAME,SAMPLE_CONSTRAINT_NAME,EXPRESSION,SAMPLE_DESCRIPTION,SAMPLE_CONSTRAINT_DESCRIPTION,PSS_CN,PSCON_CN
BalMDUA2020Inv,2020,"Baltimore, Maryland Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1301326841290487,552299058126144
BalMDUA2020Inv,2020,"Baltimore, Maryland Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1301326841290487,552299061126144
BalMDUA2021Inv,2021,"Baltimore, Maryland Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1301382517290487,552299061126144
DesIAUA2021Inv,2021,"Des Moines, IA Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1301402622290487,552299061126144
HouTXUA2017Cur,2017,"Houston, Texas Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate any current population values. Plots that entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,683403138126144,552299058126144
HouTXUA2017FS,2017,"Houston, Texas Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,683403139126144,552299059126144
HouTXUA2018Cur,2018,"Houston, Texas Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate any current population values. Plots that entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,772955733290487,552299058126144
HouTXUA2021Inv,2021,"Houston, Texas Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1267824875290487,552299058126144
HouTXUA2022Cur,2022,"Houston, Texas Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1491027591290487,552299058126144
KanMOUA2018Cur,2018,"Kansas City, MO Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,742207255290487,552299058126144
KanMOUA2018Inv,2018,"Kansas City, MO Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,742207257290487,552299061126144
KanMOUA2022FS,2022,"Kansas City, MO Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,1491207644290487,552299059126144
PorORUA2018Inv,2018,"Portland, OR Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,744770879290487,552299061126144
PorORUA2021Cur,2021,"Portland, OR Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1268197214290487,552299058126144
PorORUA2022All,2022,"Portland, OR Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,1490872124290487,552299057126144
PorORUA2022Inv,2022,"Portland, OR Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1490872127290487,552299058126144
ProRIUA2021FS,2021,"Providence, RI Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,1255517953290487,552299059126144
ProRIUA2022All,2022,"Providence, RI Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,1490994422290487,552299057126144
SanCAUA2018FS,2018,"San Diego, CA Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,759239334290487,552299059126144
SanCAUA2022Inv,2022,"San Diego, CA Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1490938763290487,552299061126144
SanTXUA2019All,2019,"San Antonio, TX Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,928883551290487,552299057126144
SprMOUA2018FS,2018,"Springfield, MO Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,742206336290487,552299059126144
StMOUA2018FS,2018,"St. Louis, Missouri Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,737683465290487,552299059126144
StMOUA2019Inv,2019,"St. Louis, Missouri Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,932849306290487,552299061126144
StMOUA2021Inv,2021,"St. Louis, Missouri Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1268233085290487,552299061126144
WasDCUA2021Inv,2021,"Washington, DC Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1273081779290487,552299061126144
WasDCUA2022Inv,2022,"Washington, DC Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1490982115290487,552299061126144
ChiILUA2022Cur,2022,"Chicago, IL Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1490993140290487,552299058126144
MadWIUA2021FS,2021,"Madison, WI Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,1256491875290487,552299059126144
MadWIUA2022Inv,2022,"Madison, WI Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1491057479290487,552299058126144
MilWIUA2021Cur,2021,"Milwaukee, WI Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1260477105290487,552299058126144
MilWIUA2022All,2022,"Milwaukee, WI Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,1491058603290487,552299057126144
MinMNUA2021Cur,2021,"Minneapolis, MN Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1261079101290487,552299058126144
PorMEUA2021FS,2021,"Portland, ME Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,1261185784290487,552299059126144
PorMEUA2022All,2022,"Portland, ME Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,1490985470290487,552299057126144
PorMEUA2022Cur,2022,"Portland, ME Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1490985471290487,552299058126144
TreNJUA2022Inv,2022,"Trenton, NJ Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1490864919290487,552299061126144
AusTXUA2014Cur,2014,"Austin, Texas Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate any current population values. Plots that entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,150521855121573,552299058126144
AusTXUA2021Cur,2021,"Austin, Texas Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1267606875290487,552299058126144
AusTXUA2022Inv,2022,"Austin, Texas Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1491024484290487,552299061126144
BalMDUA2022FS,2022,"Baltimore, Maryland Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,1490736205290487,552299059126144
BurVTUA2022FS,2022,"Burlington, VT Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,1490737736290487,552299059126144
BurVTUA2022Inv,2022,"Burlington, VT Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1490737737290487,552299061126144
DesIAUA2021FS,2021,"Des Moines, IA Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,1256472518290487,552299059126144
DesIAUA2022FS,2022,"Des Moines, IA Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,1490995743290487,552299059126144
DesIAUA2022Inv,2022,"Des Moines, IA Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1490995744290487,552299058126144
HouTXUA2015Cur,2015,"Houston, Texas Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate any current population values. Plots that entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,369577223489998,552299058126144
HouTXUA2021Cur,2021,"Houston, Texas Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate any current population values. Plots that entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1267824873290487,552299058126144
PorORUA2021Inv,2021,"Portland, OR Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1268197216290487,552299058126144
PorORUA2022FS,2022,"Portland, OR Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,1490872126290487,552299059126144
ProRIUA2021All,2021,"Providence, RI Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,1255517951290487,552299057126144
ProRIUA2022FS,2022,"Providence, RI Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,1490994424290487,552299059126144
SanCAUA2017Inv,2017,"San Diego, CA Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was employed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,518922835126144,552299058126144
SanCAUA2018Cur,2018,"San Diego, CA Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,759239333290487,552299058126144
SanTXUA2017Cur,2017,"San Antonio, TX Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,667825676126144,552299058126144
SanTXUA2017Inv,2017,"San Antonio, TX Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,667825678126144,552299058126144
SprMOUA2020Cur,2020,"Springfield, MO Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1268231470290487,552299058126144
SprMOUA2020Inv,2020,"Springfield, MO Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1268231472290487,552299061126144
StMOUA2018Cur,2018,"St. Louis, Missouri Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,737683464290487,552299058126144
StMOUA2019Cur,2019,"St. Louis, Missouri Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,932849304290487,552299058126144
StMOUA2021All,2021,"St. Louis, Missouri Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,1268233082290487,552299057126144
StMOUA2022All,2022,"St. Louis, Missouri Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,1491208831290487,552299057126144
StMOUA2022Inv,2022,"St. Louis, Missouri Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1491208834290487,552299058126144
WasDCUA2018Cur,2018,"Washington, DC Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,744909034290487,552299058126144
WasDCUA2018Inv,2018,"Washington, DC Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,744909036290487,552299058126144
WasDCUA2022Cur,2022,"Washington, DC Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1490982113290487,552299058126144
WasDCUA2022Inv,2022,"Washington, DC Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1490982115290487,552299058126144
ChiILUA2021All,2021,"Chicago, IL Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,1268180335290487,552299057126144
ChiILUA2022Inv,2022,"Chicago, IL Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1490993142290487,552299058126144
CleOHUA2022Inv,2022,"Cleveland, OH Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1490773006290487,552299058126144
MadWIUA2021Cur,2021,"Madison, WI Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1256491874290487,552299058126144
MadWIUA2021Inv,2021,"Madison, WI Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1301462821290487,552299061126144
MinMNUA2021Inv,2021,"Minneapolis, MN Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1261079103290487,552299058126144
MinMNUA2022Inv,2022,"Minneapolis, MN Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1491006015290487,552299061126144
PorMEUA2021Inv,2021,"Portland, ME Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1261185785290487,552299061126144
TreNJUA2022Cur,2022,"Trenton, NJ Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1490864917290487,552299058126144
AusTXUA2017All,2017,"Austin, Texas Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,682341473126144,552299057126144
AusTXUA2017FS,2017,"Austin, Texas Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,682341584126144,552299059126144
AusTXUA2018Cur,2018,"Austin, Texas Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate any current population values. Plots that entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,759996401290487,552299058126144
AusTXUA2019All,2019,"Austin, Texas Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,839561791290487,552299057126144
BalMDUA2020All,2020,"Baltimore, Maryland Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,1249737998290487,552299057126144
BurVTUA2022Inv,2022,"Burlington, VT Urban Area",SAMPLED,"ID_PLOT.PLOT_STATUS_CD IN (1,2,3)",Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling points must be at least partially sampled.,1490737737290487,552299058126144
DesIAUA2021All,2021,"Des Moines, IA Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,1256472516290487,552299057126144
HouTXUA2018All,2018,"Houston, Texas Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,772955732290487,552299057126144
KanMOUA2022Inv,2022,"Kansas City, MO Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was deployed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,1491207645290487,552299061126144
PorORUA2018All,2018,"Portland, OR Urban Area",SELECTED,PLT.PLOT_STATUS_CD IS NOT NULL,Sample used to estimate the total population area and sample response.,Sampling point must be selected for inclusion in the sample,744770876290487,552299057126144
PorORUA2019FS,2019,"Portland, OR Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,940884074290487,552299059126144
SanCAUA2017Inv,2017,"San Diego, CA Urban Area",INVASIVE,id_plot_invasive.cn = id_plot_invasive_pca.rec_cn and id_plot_invasive_pca.retired_date IS NULL,Sample used to estimate current population values where the invasive species protocol was employed. Plots that are entirely non-sampled are excluded.,Sampling point must participate in the Invasive Species Protocol.,518922835126144,552299061126144
SanCAUA2019FS,2019,"San Diego, CA Urban Area",FULLY SAMPLED,CALC_UTILS.plt_prop_sampled(ID_PLOT.CN) = 1,Sample used to estimate current population values. Only fully sampled plots are included.,Sampling points must be completely sampled.,925134567290487,552299059126144
