PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,SPECIES_SYMBOL_FLD,UNIQUE_SP_NBR,SPECIES_SYMBOL,GROWTH_HABIT,COVER_PCT,IS_MAINTAINED_AREA,CN,INVS_CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN
1797337,4,17,3,111,20061,1,2,ACPL,1,ACPL,Tree,0,,487678758489998,478152262489998,352769854489998,478152242489998,478152241489998,
1795928,5,17,3,89,20061,1,2,CIAR4,1,CIAR4,Forb;herb,0,,487678764489998,478152394489998,352769859489998,478152376489998,478152375489998,
1795928,5,17,3,89,20061,1,2,LONIC,1,LONIC,Shrub;Vine,0,,487678766489998,478152395489998,352769859489998,478152376489998,478152375489998,
1797331,6,17,3,111,20201,1,1,ACPL,1,ACPL,Tree,12,0.0,487678769489998,478152429489998,352769861489998,478152414489998,478152413489998,
1797331,6,17,3,111,20201,1,1,BETH,1,BETH,Shrub,4,0.0,487678770489998,478152430489998,352769861489998,478152414489998,478152413489998,
1916010,5,18,4,89,20121,1,1,CIAR4,1,CIAR4,Forb;herb,0,,487678777489998,478152592489998,352769866489998,478152530489998,478152528489998,
1916010,5,18,4,89,20121,1,2,ALPE4,1,ALPE4,Forb;herb,10,0.0,487678776489998,478152591489998,352769866489998,478152530489998,478152529489998,
1469754,5,55,5,59,20248,1,1,CIAR4,1,CIAR4,Forb;herb,1,1.0,1287172302290487,1287172301290487,924030,1287172283290487,1287172280290487,
1468333,1,55,5,59,21795,1,2,ROPS,1,ROPS,Tree,0,,942083577290487,942083575290487,924132,942083528290487,942083524290487,
1468333,1,55,5,59,21795,1,3,ULPU,1,ULPU,Tree; Shrub,3,0.0,942083581290487,942083576290487,924132,942083528290487,942083525290487,
1467826,1,55,5,59,21541,1,1,ACPL,1,ACPL,Tree,22,1.0,1287177548290487,1287177541290487,924143,1287177476290487,1287177472290487,
1854646,1,17,3,31,23237,1,1,LONIC,1,LONIC,,1,0.0,785693058290487,785693056290487,352769389489998,785693010290487,785693006290487,
1852325,4,17,3,31,20082,1,2,ROMU,1,ROMU,Vine; Subshrub,2,1.0,1287852375290487,1287852374290487,352769393489998,1287852357290487,1287852351290487,
1857885,1,17,3,31,22123,1,2,AIAL,1,AIAL,Tree,1,1.0,785698590290487,785698583290487,352769405489998,785698563290487,785698557290487,
1796366,4,17,3,97,20202,1,1,PHAU7,1,PHAU7,Subshrub; Shrub; Graminoid,1,0.0,1287854266290487,1287854264290487,352769420489998,1287854245290487,1287854242290487,
1856845,1,17,3,31,23251,1,1,ACPL,1,ACPL,Tree,4,1.0,785696576290487,785696575290487,352769453489998,785696544290487,785696541290487,
1856825,1,17,3,31,23271,1,2,ULPU,1,ULPU,Tree; Shrub,1,0.0,785696616290487,785696612290487,352769455489998,785696593290487,785696587290487,
1855687,1,17,3,31,22151,1,1,FRAL4,1,FRAL4,Tree; Shrub,5,0.0,785694100290487,785694095290487,352769465489998,785694067290487,785694064290487,
1852359,4,17,3,31,20203,1,1,ALPE4,1,ALPE4,Forb;herb,10,0.0,942212740290487,942212732290487,352769474489998,942212660290487,942212656290487,
1852406,4,17,3,31,20175,1,2,LONIC,1,LONIC,,1,0.0,942210881290487,942210879290487,352769478489998,942210840290487,942210836290487,
1852467,8,17,3,31,20098,1,1,LONIC,1,LONIC,,1,0.0,942211755290487,942211753290487,352769499489998,942211730290487,942211729290487,
1852467,8,17,3,31,20098,1,1,ROMU,1,ROMU,Vine; Subshrub,1,0.0,942211756290487,942211754290487,352769499489998,942211730290487,942211729290487,
1795882,4,17,3,89,20042,1,1,RHCA3,1,RHCA3,"Tree, Shrub",42,0.0,1281613134290487,1281593710290487,352769505489998,942211796290487,942211795290487,
1852379,4,17,3,31,20204,1,1,ACPL,1,ACPL,Tree,20,1.0,942082299290487,942082298290487,352769516489998,942082263290487,942082257290487,
1857055,1,17,3,31,23500,1,1,AIAL,1,AIAL,Tree,1,0.0,785695855290487,785695851290487,352769526489998,785695796290487,785695790290487,
1856927,1,17,3,31,23331,1,2,ACPL,1,ACPL,Tree,1,1.0,785693449290487,785693441290487,352769536489998,785693421290487,785693416290487,
1855516,1,17,3,31,23403,1,1,BETH,1,BETH,Shrub,2,0.0,785695096290487,785695094290487,352769539489998,785694951290487,785694945290487,
1855516,1,17,3,31,23403,1,1,RHCA3,1,RHCA3,Tree; Shrub,65,0.0,785695097290487,785695095290487,352769539489998,785694951290487,785694945290487,
1852490,4,17,3,31,20062,1,1,PHAR3,1,PHAR3,Graminoid,15,0.0,942082959290487,942082953290487,352769546489998,942082818290487,942082815290487,
1852490,4,17,3,31,20062,1,1,ROMU,1,ROMU,Vine; Subshrub,1,0.0,942082957290487,942082954290487,352769546489998,942082818290487,942082815290487,
1852474,4,17,3,31,20039,1,1,ROMU,1,ROMU,Vine; Subshrub,5,0.0,942083417290487,942083415290487,352769554489998,942083323290487,942083320290487,
1852437,4,17,3,31,20131,1,1,RHCA3,1,RHCA3,Tree; Shrub,1,1.0,942084900290487,942084899290487,352769555489998,942084869290487,942084864290487,
1837512,4,17,3,197,20081,1,1,PHAU7,1,PHAU7,Subshrub; Shrub; Graminoid,8,0.0,942084552290487,942084544290487,352769559489998,942084527290487,942084526290487,
1795832,4,17,3,89,20017,1,1,LONIC,1,LONIC,,1,0.0,942084992290487,942084989290487,352769568489998,942084934290487,942084929290487,
1795845,4,17,3,89,20023,1,1,RHCA3,1,RHCA3,Tree; Shrub,2,0.0,942084171290487,942084166290487,352769569489998,942084087290487,942084083290487,
1795904,6,17,3,89,20059,1,1,FRAL4,1,FRAL4,Tree; Shrub,3,0.0,942083938290487,942083932290487,352769575489998,942083916290487,942083914290487,
1915171,4,18,4,89,20095,1,1,ROMU,1,ROMU,Vine; Subshrub,1,1.0,942083176290487,942083173290487,352769579489998,942083136290487,942083133290487,
1915119,4,18,4,127,20096,1,1,ROMU,1,ROMU,Vine; Subshrub,12,0.0,942084376290487,942084372290487,352769580489998,942084252290487,942084249290487,
1915975,4,18,4,89,20027,1,1,CEOR7,1,CEOR7,Vine,0,,942084717290487,942084711290487,352769581489998,942084659290487,942084655290487,
1915975,4,18,4,89,20027,1,1,FRAL4,1,FRAL4,Tree; Shrub,0,,942084718290487,942084712290487,352769581489998,942084659290487,942084655290487,
1854669,1,17,3,31,23592,1,3,AIAL,1,AIAL,Tree,0,,785693702290487,785693697290487,352769614489998,785693645290487,785693640290487,
1852364,4,17,3,31,20006,1,2,ALPE4,1,ALPE4,Forb;herb,1,0.0,785695412290487,785695400290487,352769620489998,785695318290487,785695314290487,
1852442,4,17,3,31,20004,1,2,ACPL,1,ACPL,Tree,2,1.0,785698330290487,785698322290487,352769622489998,785698266290487,785698262290487,
1852401,5,17,3,31,20132,1,1,ACPL,1,ACPL,Tree,1,1.0,785697860290487,785697855290487,352769626489998,785697814290487,785697810290487,
1852401,5,17,3,31,20132,1,1,LIVU,1,LIVU,Shrub,10,1.0,785697864290487,785697857290487,352769626489998,785697814290487,785697810290487,
1852426,4,17,3,31,20011,1,1,LONIC,1,LONIC,,1,0.0,785696143290487,785696136290487,352769627489998,785696048290487,785696041290487,
1852426,4,17,3,31,20011,1,1,PHAR3,1,PHAR3,Graminoid,4,0.0,785696144290487,785696137290487,352769627489998,785696048290487,785696041290487,
1837451,4,17,3,197,20160,1,2,ALPE4,1,ALPE4,Forb;herb,0,,785696258290487,785696246290487,352769637489998,785696187290487,785696182290487,
1797320,4,17,3,111,20200,1,1,CEOR7,1,CEOR7,Vine,40,0.0,785694516290487,785694508290487,352769647489998,785694437290487,785694434290487,
1796103,4,17,3,93,20014,1,1,LYNU,1,LYNU,Forb;herb,1,0.0,785699080290487,785699077290487,352769649489998,785699057290487,785699056290487,
1796103,4,17,3,93,20014,1,1,PATO2,1,PATO2,Tree,4,0.0,785699083290487,785699078290487,352769649489998,785699057290487,785699056290487,
1796103,4,17,3,93,20014,1,1,RHCA3,1,RHCA3,Tree; Shrub,1,0.0,785699081290487,785699079290487,352769649489998,785699057290487,785699056290487,
1796129,4,17,3,93,20033,1,1,LONIC,1,LONIC,,1,0.0,785698442290487,785698441290487,352769650489998,785698396290487,785698391290487,
1915150,4,18,4,127,20092,1,2,AIAL,1,AIAL,Tree,1,1.0,785693859290487,785693851290487,352769654489998,785693827290487,785693825290487,
1917561,4,18,4,127,20069,1,2,BEVU,1,BEVU,Shrub,1,0.0,785694630290487,785694623290487,352769655489998,785694582290487,785694579290487,
1917561,4,18,4,127,20069,1,2,PHAR3,1,PHAR3,Graminoid,1,0.0,785694633290487,785694628290487,352769655489998,785694582290487,785694579290487,
1856994,1,17,3,31,23453,1,1,CIVU,1,CIVU,Forb;herb,5,1.0,707805230126144,707805229126144,352769668489998,707805198126144,707805189126144,
1857819,1,17,3,31,22062,1,1,LONIC,1,LONIC,Shrub;Vine,1,0.0,707805619126144,707805617126144,352769681489998,707805597126144,707805595126144,
1856944,1,17,3,31,23368,1,3,ACPL,1,ACPL,Tree,0,,707805421126144,707805415126144,352769683489998,707805393126144,707805387126144,
1852384,4,17,3,31,20155,1,1,ACPL,1,ACPL,Tree,3,1.0,707806909126144,707806900126144,352769684489998,707806863126144,707806856126144,
1852348,4,17,3,31,20149,1,1,ULPU,1,ULPU,Tree; Shrub,1,1.0,707805671126144,707805670126144,352769689489998,707805644126144,707805640126144,
1837449,4,17,3,197,20129,1,1,LONIC,1,LONIC,Shrub;Vine,5,1.0,707806954126144,707806949126144,352769703489998,707806921126144,707806919126144,
1837449,4,17,3,197,20129,1,1,PHAR3,1,PHAR3,Graminoid,2,1.0,707806953126144,707806950126144,352769703489998,707806921126144,707806919126144,
1853043,4,17,3,43,20012,1,1,CIAR4,1,CIAR4,Forb;herb,1,1.0,707805723126144,707805722126144,352769709489998,707805703126144,707805699126144,
1837523,4,17,3,197,20124,1,2,LONIC,1,LONIC,Shrub;Vine,1,1.0,707806589126144,707806586126144,352769714489998,707806501126144,707806494126144,
1837523,4,17,3,197,20124,1,2,ULPU,1,ULPU,Tree; Shrub,1,1.0,707806590126144,707806587126144,352769714489998,707806501126144,707806494126144,
1915979,4,18,4,89,29990,1,1,LONIC,1,LONIC,Shrub;Vine,7,0.0,707807063126144,707807051126144,352769717489998,707806982126144,707806980126144,
1915979,4,18,4,89,29990,1,1,PHAU7,1,PHAU7,Subshrub; Shrub; Graminoid,1,0.0,707807060126144,707807053126144,352769717489998,707806982126144,707806980126144,
1854642,1,17,3,31,23241,1,1,RHCA3,1,RHCA3,Tree; Shrub,1,1.0,491757928126144,491757919126144,352769721489998,491757893126144,491757891126144,
1854642,1,17,3,31,23241,1,2,ALPE4,1,ALPE4,Forb;herb,0,,491757921126144,491757915126144,352769721489998,491757893126144,491757892126144,
1854642,1,17,3,31,23241,1,2,HEHE,1,HEHE,Vine,0,,491757925126144,491757917126144,352769721489998,491757893126144,491757892126144,
1857703,1,17,3,31,21825,1,1,CIAR4,1,CIAR4,Forb;herb,1,1.0,491758209126144,491758207126144,352769730489998,491758191126144,491758190126144,
1852389,4,17,3,31,20167,1,1,CIVU,1,CIVU,Forb;herb,1,0.0,491758297126144,491758294126144,352769733489998,491758279126144,491758278126144,
1855673,1,17,3,31,22165,1,1,CIVU,1,CIVU,Forb;herb,0,,491758593126144,491758587126144,352769743489998,491758517126144,491758515126144,
1855673,1,17,3,31,22165,1,1,RHCA3,1,RHCA3,Tree; Shrub,55,0.0,491758595126144,491758588126144,352769743489998,491758517126144,491758515126144,
1857870,1,17,3,31,22138,1,2,CIAR4,1,CIAR4,Forb;herb,0,,491758642126144,491758640126144,352769745489998,491758627126144,491758626126144,
1857843,1,17,3,31,22111,1,1,CIVU,1,CIVU,Forb;herb,2,1.0,491758792126144,491758789126144,352769750489998,491758777126144,491758776126144,
1852479,4,17,3,31,20133,1,1,ROMU,1,ROMU,Vine; Subshrub,12,0.0,491759029126144,491759023126144,352769757489998,491758923126144,491758922126144,
1852370,5,17,3,31,20112,1,1,RHCA3,1,RHCA3,Tree; Shrub,1,1.0,491759363126144,491759361126144,352769766489998,491759306126144,491759305126144,
1796301,4,17,3,97,20087,1,1,LONIC,1,LONIC,Shrub;Vine,6,0.0,491759473126144,491759468126144,352769767489998,491759370126144,491759369126144,
1852996,4,17,3,43,20048,1,1,LONIC,1,LONIC,Shrub;Vine,1,1.0,491759532126144,491759526126144,352769770489998,491759506126144,491759505126144,
1852999,4,17,3,43,20049,1,1,RHCA3,1,RHCA3,Tree; Shrub,2,1.0,491759580126144,491759579126144,352769771489998,491759543126144,491759542126144,
1852464,4,17,3,31,20154,1,1,RHCA3,1,RHCA3,Tree; Shrub,1,1.0,491757321126144,491757319126144,352769778489998,491757307126144,491757306126144,
1796095,4,17,3,93,20009,1,1,BETH,1,BETH,Shrub,1,1.0,491757558126144,491757556126144,352769786489998,491757545126144,491757544126144,
1915950,4,18,4,89,20056,1,2,CIAR4,1,CIAR4,Forb;herb,0,,528824582126144,528824579126144,352769791489998,528824550126144,528824548126144,
1917629,4,18,4,89,20011,1,1,RHCA3,1,RHCA3,Tree; Shrub,1,1.0,528824616126144,528824611126144,352769792489998,528824593126144,528824592126144,
1852336,4,17,3,31,20201,1,1,RHCA3,1,RHCA3,Tree; Shrub,2,0.0,491757682126144,491757677126144,352769795489998,491757663126144,491757662126144,
1857695,1,17,3,31,21833,1,1,CIAR4,1,CIAR4,Forb;herb,0,,487678510489998,478150566489998,352769802489998,478150536489998,478150534489998,
1857694,1,17,3,31,21834,1,3,ACPL,1,ACPL,Tree,0,,487678514489998,478150597489998,352769803489998,478150579489998,478150578489998,
1852392,4,17,3,31,20205,1,2,CESTM,1,CESTM,Forb;herb,0,,487678516489998,478150732489998,352769809489998,478150718489998,478150717489998,
1857067,1,17,3,31,23488,1,1,ACPL,1,ACPL,Tree,70,1.0,487678517489998,478150868489998,352769812489998,478150840489998,478150838489998,
1857880,1,17,3,31,22128,1,1,CIAR4,1,CIAR4,Forb;herb,1,0.0,487678526489998,478150967489998,352769816489998,478150945489998,478150943489998,
1857880,1,17,3,31,22128,1,2,AIAL,1,AIAL,Tree,3,0.0,487678525489998,478150966489998,352769816489998,478150945489998,478150944489998,
1857880,1,17,3,31,22128,1,2,ELAN,1,ELAN,Tree; Shrub,2,0.0,487678529489998,478150968489998,352769816489998,478150945489998,478150944489998,
1857896,1,17,3,31,22193,1,1,FRAL4,1,FRAL4,Tree; Shrub,1,1.0,487678661489998,478151099489998,352769820489998,478151077489998,478151076489998,
1855691,1,17,3,31,22147,1,1,CIAR4,1,CIAR4,Forb;herb,1,0.0,487678663489998,478151123489998,352769821489998,478151107489998,478151106489998,
1855691,1,17,3,31,22147,1,1,RHCA3,1,RHCA3,Tree; Shrub,1,0.0,487678664489998,478151124489998,352769821489998,478151107489998,478151106489998,
1857721,1,17,3,31,21968,1,1,ULPU,1,ULPU,Tree; Shrub,1,1.0,487678666489998,478151183489998,352769823489998,478151158489998,478151152489998,
1856790,1,17,3,31,23171,1,2,ACPL,1,ACPL,Tree,15,1.0,487678668489998,478151221489998,352769825489998,478151202489998,478151201489998,
1856933,1,17,3,31,23379,1,1,BETH,1,BETH,Shrub,3,1.0,487678673489998,478151257489998,352769826489998,478151236489998,478151234489998,
1857721,2,17,3,31,21968,1,1,ULPU,1,ULPU,Tree; Shrub,1,1.0,942082810290487,942082808290487,559740569126144,942082785290487,942082779290487,352769823489998.0
1857067,2,17,3,31,23488,1,1,ACPL,1,ACPL,Tree,50,1.0,942083283290487,942083278290487,559740571126144,942083233290487,942083224290487,352769812489998.0
1857790,2,17,3,31,22034,1,1,CEOR7,1,CEOR7,Vine,1,0.0,942085199290487,942085196290487,559740575126144,942085173290487,942085169290487,352769814489998.0
1856790,2,17,3,31,23171,1,1,ACPL,1,ACPL,Tree,30,1.0,942085235290487,942085234290487,559740579126144,942085211290487,942085208290487,352769825489998.0
1857797,2,17,3,31,22027,1,2,LONIC,1,LONIC,,1,0.0,942231306290487,942231303290487,781816999290487,942231274290487,942231269290487,352769736489998.0
1857703,2,17,3,31,21825,1,1,ACPL,1,ACPL,Tree,20,1.0,942230778290487,942230777290487,781817034290487,942230754290487,942230751290487,352769730489998.0
1857750,2,17,3,31,22020,1,2,ULPU,1,ULPU,Tree; Shrub,1,0.0,1287853231290487,1287853230290487,992948010290487,1287853187290487,1287853181290487,352769678489998.0
1854661,2,17,3,31,23222,1,1,RHCA3,1,RHCA3,Tree; Shrub,2,1.0,1287852601290487,1287852600290487,992948043290487,1287852575290487,1287852566290487,352769663489998.0
1469919,4,55,5,59,20011,1,2,ALPE4,1,ALPE4,Forb;herb,1,0.0,505940896126144,505940891126144,923671,505940844126144,505940843126144,
1469919,4,55,5,59,20011,1,2,RHCA3,1,RHCA3,Tree; Shrub,6,0.0,505940900126144,505940893126144,923671,505940844126144,505940843126144,
1468139,1,55,5,59,21698,1,1,RHCA3,1,RHCA3,Tree; Shrub,1,0.0,491757883126144,491757882126144,923677,491757873126144,491757872126144,
1467836,1,55,5,59,21546,1,1,ALPE4,1,ALPE4,Forb;herb,2,0.0,707805020126144,707805014126144,923687,707804906126144,707804901126144,
1467836,1,55,5,59,21546,1,2,ELUM,1,ELUM,Shrub,1,0.0,707805026126144,707805015126144,923687,707804906126144,707804902126144,
1469478,1,55,5,59,22292,1,1,ACPL,1,ACPL,Tree,10,0.0,785694748290487,785694741290487,923693,785694652290487,785694646290487,
1467849,1,55,5,59,21553,1,1,ACPL,1,ACPL,Tree,3,1.0,785692964290487,785692957290487,923694,785692881290487,785692876290487,
1467849,1,55,5,59,21553,1,1,HEMA3,1,HEMA3,Forb;herb,0,,785692961290487,785692959290487,923694,785692881290487,785692876290487,
1467849,1,55,5,59,21553,1,2,PHAR3,1,PHAR3,Graminoid,0,,785692965290487,785692960290487,923694,785692881290487,785692877290487,
1469103,1,55,5,59,22180,1,2,LONIC,1,LONIC,,1,1.0,785697394290487,785697387290487,923699,785697286290487,785697280290487,
1796375,4,17,3,97,20011,1,1,ROMU,1,ROMU,Vine; Subshrub,2,0.0,487678718489998,478151731489998,352769839489998,478151657489998,478151655489998,
1796340,4,17,3,97,20080,1,1,BETH,1,BETH,Shrub,1,1.0,487678723489998,478151801489998,352769840489998,478151750489998,478151747489998,
1853009,4,17,3,43,20202,1,1,ELUM,1,ELUM,Shrub,2,0.0,487678746489998,478152093489998,352769848489998,478152041489998,478152040489998,
1853009,4,17,3,43,20202,1,1,LONIC,1,LONIC,Shrub;Vine,8,0.0,487678747489998,478152094489998,352769848489998,478152041489998,478152040489998,
1837502,5,17,3,197,20155,1,2,ULPU,1,ULPU,Tree; Shrub,0,,487678756489998,478152150489998,352769850489998,478152132489998,478152131489998,
1795928,5,17,3,89,20061,1,1,PHAR3,1,PHAR3,Graminoid,1,1.0,487678767489998,478152396489998,352769859489998,478152376489998,478152374489998,
1797331,6,17,3,111,20201,1,1,HEHE,1,HEHE,Vine,2,0.0,487678772489998,478152432489998,352769861489998,478152414489998,478152413489998,
1916049,5,18,4,89,20032,1,1,CIAR4,1,CIAR4,Forb;herb,1,1.0,487678774489998,478152489489998,352769863489998,478152479489998,478152478489998,
1854651,2,17,3,31,23232,1,1,ACPL,1,ACPL,Tree,1,1.0,942083715290487,942083713290487,559740535126144,942083683290487,942083677290487,352769800489998.0
1468333,1,55,5,59,21795,1,2,LONIC,1,LONIC,,3,0.0,942083579290487,942083574290487,924132,942083528290487,942083524290487,
1467826,1,55,5,59,21541,1,1,ROMU,1,ROMU,Vine; Subshrub,1,0.0,1287177545290487,1287177543290487,924143,1287177476290487,1287177472290487,
1856813,1,17,3,31,23202,1,2,ULPU,1,ULPU,Tree; Shrub,1,0.0,785698524290487,785698521290487,352769390489998,785698475290487,785698469290487,
1857700,1,17,3,31,21828,1,1,AIAL,1,AIAL,Tree,1,1.0,785693955290487,785693953290487,352769394489998,785693934290487,785693924290487,
1852382,4,17,3,31,20041,1,1,CIVU,1,CIVU,Forb;herb,1,1.0,1287853669290487,1287853668290487,352769396489998,1287853646290487,1287853644290487,
1857885,1,17,3,31,22123,1,2,POCU6,1,POCU6,Subshrub; Forb;herb,2,1.0,785698591290487,785698585290487,352769405489998,785698563290487,785698557290487,
1856897,1,17,3,31,23307,1,1,CIVU,1,CIVU,Forb;herb,1,0.0,785697504290487,785697502290487,352769411489998,785697468290487,785697460290487,
1852362,4,17,3,31,20100,1,1,LONIC,1,LONIC,,1,1.0,1287852872290487,1287852871290487,352769416489998,1287852831290487,1287852826290487,
1852385,4,17,3,31,20049,1,1,ACPL,1,ACPL,Tree,5,1.0,1287853696290487,1287853695290487,352769418489998,1287853676290487,1287853674290487,
1852408,4,17,3,31,20178,1,1,LONIC,1,LONIC,,1,1.0,1287853488290487,1287853487290487,352769427489998,1287853432290487,1287853426290487,
1856825,1,17,3,31,23271,1,2,AIAL,1,AIAL,Tree,1,0.0,785696615290487,785696611290487,352769455489998,785696593290487,785696587290487,
1857088,1,17,3,31,23521,1,1,ULPU,1,ULPU,Tree; Shrub,1,1.0,785698689290487,785698688290487,352769460489998,785698672290487,785698670290487,
1857855,1,17,3,31,22099,1,1,LONIC,1,LONIC,,1,0.0,785694155290487,785694152290487,352769466489998,785694112290487,785694107290487,
1856952,1,17,3,31,23360,1,1,RHCA3,1,RHCA3,Tree; Shrub,1,1.0,785697564290487,785697562290487,352769468489998,785697545290487,785697540290487,
1857338,1,17,3,31,23824,1,1,AIAL,1,AIAL,Tree,1,1.0,785698125290487,785698124290487,352769471489998,785698106290487,785698100290487,
1852359,4,17,3,31,20203,1,1,RHCA3,1,RHCA3,Tree; Shrub,15,0.0,942212741290487,942212734290487,352769474489998,942212660290487,942212656290487,
1852359,4,17,3,31,20203,1,1,ROMU,1,ROMU,Vine; Subshrub,1,0.0,942212739290487,942212735290487,352769474489998,942212660290487,942212656290487,
1852359,4,17,3,31,20203,1,2,AIAL,1,AIAL,Tree,1,0.0,942212744290487,942212731290487,352769474489998,942212660290487,942212657290487,
1795838,4,17,3,89,20052,1,1,ELUM,1,ELUM,Shrub,5,0.0,942211659290487,942211655290487,352769490489998,942211612290487,942211611290487,
1852379,4,17,3,31,20204,1,2,ACPL,1,ACPL,Tree,8,1.0,942082300290487,942082298290487,352769516489998,942082263290487,942082258290487,
1852381,4,17,3,31,20021,1,1,ULPU,1,ULPU,Tree; Shrub,1,1.0,942082335290487,942082334290487,352769517489998,942082312290487,942082306290487,
1857055,1,17,3,31,23500,1,2,AIAL,1,AIAL,Tree,1,0.0,785695857290487,785695851290487,352769526489998,785695796290487,785695791290487,
1857055,1,17,3,31,23500,1,2,FRAL4,1,FRAL4,Tree; Shrub,1,0.0,785695858290487,785695852290487,352769526489998,785695796290487,785695791290487,
1857055,1,17,3,31,23500,1,3,ULPU,1,ULPU,Tree; Shrub,3,0.0,785695862290487,785695853290487,352769526489998,785695796290487,785695792290487,
1856927,1,17,3,31,23331,1,1,CIAR4,1,CIAR4,Forb;herb,4,1.0,785693446290487,785693442290487,352769536489998,785693421290487,785693415290487,
1856927,1,17,3,31,23331,1,2,RHCA3,1,RHCA3,Tree; Shrub,0,,785693448290487,785693443290487,352769536489998,785693421290487,785693416290487,
1796295,5,17,3,97,20016,1,1,ULPU,1,ULPU,Tree; Shrub,6,1.0,942082496290487,942082495290487,352769552489998,942082464290487,942082461290487,
1837512,4,17,3,197,20081,1,1,RHCA3,1,RHCA3,Tree; Shrub,8,0.0,942084553290487,942084545290487,352769559489998,942084527290487,942084526290487,
1837512,4,17,3,197,20081,1,1,ULPU,1,ULPU,Tree; Shrub,1,0.0,942084551290487,942084547290487,352769559489998,942084527290487,942084526290487,
1795845,4,17,3,89,20023,1,1,ROMU,1,ROMU,Vine; Subshrub,3,0.0,942084172290487,942084167290487,352769569489998,942084087290487,942084083290487,
1789905,4,17,3,63,20073,1,1,CIAR4,1,CIAR4,Forb;herb,1,1.0,942085026290487,942085025290487,352769576489998,942085005290487,942085001290487,
1917873,4,18,4,73,20155,1,1,LONIC,1,LONIC,,3,0.0,942083125290487,942083122290487,352769577489998,942083039290487,942083037290487,
1915119,4,18,4,127,20096,1,1,CEOR7,1,CEOR7,Vine,35,0.0,942084377290487,942084368290487,352769580489998,942084252290487,942084249290487,
1915975,4,18,4,89,20027,1,2,FRAL4,1,FRAL4,Tree; Shrub,1,0.0,942084725290487,942084712290487,352769581489998,942084659290487,942084656290487,
1857739,1,17,3,31,21950,1,2,AIAL,1,AIAL,Tree,1,1.0,785698754290487,785698753290487,352769603489998,785698728290487,785698720290487,
1852364,4,17,3,31,20006,1,2,MIVI,1,MIVI,Graminoid,1,0.0,785695414290487,785695402290487,352769620489998,785695318290487,785695314290487,
1852442,4,17,3,31,20004,1,1,ACPL,1,ACPL,Tree,1,1.0,785698325290487,785698322290487,352769622489998,785698266290487,785698261290487,
