EVALID,EVAL_NAME,REPORT_YEAR,POPULATION_NAME,POPULATION_STRUCTURE_VERSION,POPULATION_ACRES,POPULATION_POINT_COUNT,POPULATION_PLOT_COUNT,ESTN_UNIT_NAME,ESTN_UNIT_ACRES,ESTN_UNIT_POINT_COUNT,ESTN_UNIT_PLOT_COUNT,STRATUM_NAME,STRATUM_LABEL,STRATUM_ACRES,STRATUM_POINT_COUNT,STRATUM_PLOT_COUNT,EXPNS,STRATUM_WEIGHT,STRATUM_SOURCE,STRATUM_SUBPLOT_ADJ_FACTOR,STRATUM_MICROPLOT_ADJ_FACTOR,EVAL_DESCRIPTION,STRATUM_DESCRIPTION,PE_CN,PSS_CN,PEU_CN,PSTREL_CN,PS_CN,CN,EVAL_GRP_ID,EVAL_GRP_NAME,EVAL_GRP_LABEL,PEG_CN
PortlandOR2021FS,"Portland, OR 2021 Fully Sampled Curr Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,170,"City of Portland, OR",92848.5544848036,417509,170,D,Dev-Med,27698.7398072646,124552,51,543.1125452404834,0.29832171282535225,NLCD 2016,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, Medium Intensity",1268197395290487,1268197215290487,1268197399290487,480970830489998,941394335290487,1275858505290487,,,,
PortlandOR2021FS,"Portland, OR 2021 Fully Sampled Curr Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,170,"City of Portland, OR",92848.5544848036,417509,170,C,Dev-Low,22787.5463306153,102468,28,813.8409403791172,0.24542704468646184,NLCD 2016,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, Low Intensity",1268197395290487,1268197215290487,1268197399290487,480970830489998,941394334290487,1275858434290487,,,,
PortlandOR2021FS,"Portland, OR 2021 Fully Sampled Curr Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,170,"City of Portland, OR",92848.5544848036,417509,170,E,Dev-High,15512.3795404003,69754,37,419.2535010919001,0.16707184755298687,NLCD 2016,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, High Intensity; Barren Land",1268197395290487,1268197215290487,1268197399290487,480970830489998,941394336290487,1275858465290487,,,,
PortlandOR2021FS,"Portland, OR 2021 Fully Sampled Curr Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,170,"City of Portland, OR",92848.5544848036,417509,170,F,Forest/Shrub,11284.581171238,50743,19,593.9253248019978,0.12153749979042368,NLCD 2016,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ",Deciduous Forest; Evergreen Forest; Mixed Forest; Shrub/Scrub; Woody Wetlands,1268197395290487,1268197215290487,1268197399290487,480970830489998,941394337290487,1275858412290487,,,,
PortlandOR2021FS,"Portland, OR 2021 Fully Sampled Curr Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,170,"City of Portland, OR",92848.5544848036,417509,170,A,Water,5910.60044477391,26578,13,454.6615726749161,0.06365850796030745,NLCD 2016,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ",Open Water,1268197395290487,1268197215290487,1268197399290487,480970830489998,941394332290487,1275858396290487,,,,
PortlandOR2021Invs,"Portland, OR 2021 Invasive Species Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,F,Forest/Shrub,11284.581171238,50743,20,564.229058561898,0.12153749979042368,NLCD 2016,1.021301333091921,1.0126588474414944,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ",Deciduous Forest; Evergreen Forest; Mixed Forest; Shrub/Scrub; Woody Wetlands,1268197396290487,1268197216290487,1268197400290487,480970830489998,941394337290487,1275858697290487,,,,
PortlandOR2021Invs,"Portland, OR 2021 Invasive Species Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,E,Dev-High,15512.3795404003,69754,37,419.2535010919001,0.16707184755298687,NLCD 2016,1.0,1.0,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, High Intensity; Barren Land",1268197396290487,1268197216290487,1268197400290487,480970830489998,941394336290487,1275858736290487,,,,
PortlandOR2021Invs,"Portland, OR 2021 Invasive Species Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,B,Dev-Open/Veg,9654.70719051149,43414,23,419.76987784832585,0.10398338718446788,NLCD 2016,1.0088463473753755,1.0,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, Open Space; Pasture/Hay; Grassland/Herbaceous; Cultivated Crops; Emergent Herbaceous Wetlands",1268197396290487,1268197216290487,1268197400290487,480970830489998,941394333290487,1275858608290487,,,,
PortlandOR2021Invs,"Portland, OR 2021 Invasive Species Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,D,Dev-Med,27698.7398072646,124552,60,461.6456634544109,0.29832171282535225,NLCD 2016,1.0596143976124799,1.064664379297433,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, Medium Intensity",1268197396290487,1268197216290487,1268197400290487,480970830489998,941394335290487,1275858634290487,,,,
PortlandOR2021Invs,"Portland, OR 2021 Invasive Species Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,C,Dev-Low,22787.5463306153,102468,39,584.2960597593661,0.24542704468646184,NLCD 2016,1.1531047553457254,1.139706160857971,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, Low Intensity",1268197396290487,1268197216290487,1268197400290487,480970830489998,941394334290487,1275858566290487,,,,
PortlandOR2021Invs,"Portland, OR 2021 Invasive Species Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,A,Water,5910.60044477391,26578,13,454.6615726749161,0.06365850796030745,NLCD 2016,1.0,1.0,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ",Open Water,1268197396290487,1268197216290487,1268197400290487,480970830489998,941394332290487,1275858720290487,,,,
PortlandOR2022All,"Portland, OR 2022 All Area",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,205,"City of Portland, OR",92851.7053005,417509,205,F,Forest/Veg,14334.4374975,64455,29,494.2909481896552,0.15437990558287365,NLCD 2021,1.0,1.0,"Evaluation used to produce estimates of the total population area and sample response rates for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.",Mixed Forest; Evergreen Forest; Emergent Herbaceous Wetlands; Pasture/Hay; Deciduous Forest; Woody Wetlands; Grassland/Herbaceous; Shrub/Scrub; Cultivated Crops,1490876320290487,1490872124290487,1490876553290487,480970830489998,1494270305290487,1536937089290487,,,,
PortlandOR2022All,"Portland, OR 2022 All Area",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,205,"City of Portland, OR",92851.7053005,417509,205,E,Dev-High,17799.3438075,80035,44,404.53054107954546,0.1916964664234783,NLCD 2021,1.0,1.0,"Evaluation used to produce estimates of the total population area and sample response rates for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, High Intensity; Barren Land",1490876320290487,1490872124290487,1490876553290487,480970830489998,1494270304290487,1536936898290487,,,,
PortlandOR2022All,"Portland, OR 2022 All Area",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,205,"City of Portland, OR",92851.7053005,417509,205,D,Dev-Med,30182.7143565,135717,66,457.31385388636363,0.32506365132248644,NLCD 2021,1.0,1.0,"Evaluation used to produce estimates of the total population area and sample response rates for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Medium Intensity",1490876320290487,1490872124290487,1490876553290487,480970830489998,1494270303290487,1536936945290487,,,,
PortlandOR2022All,"Portland, OR 2022 All Area",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,205,"City of Portland, OR",92851.7053005,417509,205,B,Dev-Open,6037.121097,27146,19,317.74321563157895,0.06501895767516389,NLCD 2021,1.0,1.0,"Evaluation used to produce estimates of the total population area and sample response rates for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Open Space",1490876320290487,1490872124290487,1490876553290487,480970830489998,1494270301290487,1536937027290487,,,,
PortlandOR2022All,"Portland, OR 2022 All Area",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,205,"City of Portland, OR",92851.7053005,417509,205,C,Dev-Low,19030.297365,85570,37,514.3323612162162,0.2049536656694826,NLCD 2021,1.0,1.0,"Evaluation used to produce estimates of the total population area and sample response rates for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Low Intensity",1490876320290487,1490872124290487,1490876553290487,480970830489998,1494270302290487,1536937049290487,,,,
PortlandOR2022All,"Portland, OR 2022 All Area",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,205,"City of Portland, OR",92851.7053005,417509,205,A,Water,5467.791177,24586,10,546.7791177,0.05888735332651512,NLCD 2021,1.0,1.0,"Evaluation used to produce estimates of the total population area and sample response rates for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.",Open Water,1490876320290487,1490872124290487,1490876553290487,480970830489998,1494270300290487,1536937014290487,,,,
PortlandOR2022Curr,"Portland, OR 2022 Current Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,A,Water,5467.791177,24586,10,546.7791177,0.05888735332651512,NLCD 2021,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.",Open Water,1490876321290487,1490872125290487,1490876554290487,480970830489998,1494270300290487,1536937294290487,,,,
PortlandOR2022Curr,"Portland, OR 2022 Current Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,D,Dev-Med,30182.7143565,135717,64,471.6049118203125,0.32506365132248644,NLCD 2021,1.0808023082227558,1.097379134090815,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Medium Intensity",1490876321290487,1490872125290487,1490876554290487,480970830489998,1494270303290487,1536937126290487,,,,
PortlandOR2022Curr,"Portland, OR 2022 Current Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,B,Dev-Open,6037.121097,27146,17,355.1247704117647,0.06501895767516389,NLCD 2021,1.0120060734713463,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Open Space",1490876321290487,1490872125290487,1490876554290487,480970830489998,1494270301290487,1536937238290487,,,,
PortlandOR2022Curr,"Portland, OR 2022 Current Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,F,Forest/Veg,14334.4374975,64455,27,530.9050925,0.15437990558287365,NLCD 2021,1.0156921045414138,1.0093462503529005,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.",Mixed Forest; Evergreen Forest; Emergent Herbaceous Wetlands; Pasture/Hay; Deciduous Forest; Woody Wetlands; Grassland/Herbaceous; Shrub/Scrub; Cultivated Crops,1490876321290487,1490872125290487,1490876554290487,480970830489998,1494270305290487,1536937307290487,,,,
PortlandOR2022Curr,"Portland, OR 2022 Current Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,E,Dev-High,17799.3438075,80035,42,423.79390017857145,0.1916964664234783,NLCD 2021,1.0082119179963909,1.0095115512095365,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, High Intensity; Barren Land",1490876321290487,1490872125290487,1490876554290487,480970830489998,1494270304290487,1536937193290487,,,,
PortlandOR2022Curr,"Portland, OR 2022 Current Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,C,Dev-Low,19030.297365,85570,33,576.6756777272727,0.2049536656694826,NLCD 2021,1.1490846142663624,1.1223116076451796,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Low Intensity",1490876321290487,1490872125290487,1490876554290487,480970830489998,1494270302290487,1536937258290487,,,,
PortlandOR2022FS,"Portland, OR 2022 Fully Sampled Curr Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,170,"City of Portland, OR",92851.7053005,417509,170,D,Dev-Med,30182.7143565,135717,54,558.93915475,0.32506365132248644,NLCD 2021,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Medium Intensity",1490876322290487,1490872126290487,1490876555290487,480970830489998,1494270303290487,1536937593290487,,,,
PortlandOR2022FS,"Portland, OR 2022 Fully Sampled Curr Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,170,"City of Portland, OR",92851.7053005,417509,170,F,Forest/Veg,14334.4374975,64455,26,551.3245191346153,0.15437990558287365,NLCD 2021,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer.",Mixed Forest; Evergreen Forest; Emergent Herbaceous Wetlands; Pasture/Hay; Deciduous Forest; Woody Wetlands; Grassland/Herbaceous; Shrub/Scrub; Cultivated Crops,1490876322290487,1490872126290487,1490876555290487,480970830489998,1494270305290487,1536937694290487,,,,
PortlandOR2022FS,"Portland, OR 2022 Fully Sampled Curr Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,170,"City of Portland, OR",92851.7053005,417509,170,E,Dev-High,17799.3438075,80035,41,434.1303367682927,0.1916964664234783,NLCD 2021,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, High Intensity; Barren Land",1490876322290487,1490872126290487,1490876555290487,480970830489998,1494270304290487,1536937650290487,,,,
PortlandOR2022FS,"Portland, OR 2022 Fully Sampled Curr Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,170,"City of Portland, OR",92851.7053005,417509,170,A,Water,5467.791177,24586,10,546.7791177,0.05888735332651512,NLCD 2021,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer.",Open Water,1490876322290487,1490872126290487,1490876555290487,480970830489998,1494270300290487,1536937535290487,,,,
PortlandOR2022FS,"Portland, OR 2022 Fully Sampled Curr Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,170,"City of Portland, OR",92851.7053005,417509,170,B,Dev-Open,6037.121097,27146,16,377.3200685625,0.06501895767516389,NLCD 2021,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Open Space",1490876322290487,1490872126290487,1490876555290487,480970830489998,1494270301290487,1536937548290487,,,,
PortlandOR2022FS,"Portland, OR 2022 Fully Sampled Curr Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,170,"City of Portland, OR",92851.7053005,417509,170,C,Dev-Low,19030.297365,85570,23,827.4042332608695,0.2049536656694826,NLCD 2021,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Low Intensity",1490876322290487,1490872126290487,1490876555290487,480970830489998,1494270302290487,1536937567290487,,,,
PortlandOR2022Invs,"Portland, OR 2022 Invasive Species Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,F,Forest/Veg,14334.4374975,64455,27,530.9050925,0.15437990558287365,NLCD 2021,1.0156921045414138,1.0093462503529005,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.",Mixed Forest; Evergreen Forest; Emergent Herbaceous Wetlands; Pasture/Hay; Deciduous Forest; Woody Wetlands; Grassland/Herbaceous; Shrub/Scrub; Cultivated Crops,1490876323290487,1490872127290487,1490876556290487,480970830489998,1494270305290487,1536946446290487,,,,
PortlandOR2022Invs,"Portland, OR 2022 Invasive Species Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,A,Water,5467.791177,24586,10,546.7791177,0.05888735332651512,NLCD 2021,1.0,1.0,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.",Open Water,1490876323290487,1490872127290487,1490876556290487,480970830489998,1494270300290487,1536946476290487,,,,
PortlandOR2022Invs,"Portland, OR 2022 Invasive Species Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,C,Dev-Low,19030.297365,85570,33,576.6756777272727,0.2049536656694826,NLCD 2021,1.1490846142663624,1.1223116076451796,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Low Intensity",1490876323290487,1490872127290487,1490876556290487,480970830489998,1494270302290487,1536946489290487,,,,
PortlandOR2022Invs,"Portland, OR 2022 Invasive Species Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,D,Dev-Med,30182.7143565,135717,64,471.6049118203125,0.32506365132248644,NLCD 2021,1.0808023082227558,1.097379134090815,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Medium Intensity",1490876323290487,1490872127290487,1490876556290487,480970830489998,1494270303290487,1536946379290487,,,,
PortlandOR2022Invs,"Portland, OR 2022 Invasive Species Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,E,Dev-High,17799.3438075,80035,42,423.79390017857145,0.1916964664234783,NLCD 2021,1.0082119179963909,1.0095115512095365,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, High Intensity; Barren Land",1490876323290487,1490872127290487,1490876556290487,480970830489998,1494270304290487,1536946334290487,,,,
PortlandOR2022Invs,"Portland, OR 2022 Invasive Species Estimates",2022,"Portland, OR Urban Area",1.0,92851.7053005,417509,193,"City of Portland, OR",92851.7053005,417509,193,B,Dev-Open,6037.121097,27146,17,355.1247704117647,0.06501895767516389,NLCD 2021,1.0120060734713463,1.0,"Evaluation used to produce current estimates of invasive species population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer.","Developed, Open Space",1490876323290487,1490872127290487,1490876556290487,480970830489998,1494270301290487,1536946525290487,,,,
