VALUE,ABBR,MEANING,RETIRED
331,Park,"Park: Parks are developed green space that are generally publicly owned and are always open to the public.  This land use generally consists of open maintained green space, playgrounds, recreational trails, buildings and/or athletic fields and includes associated parking areas and access roads. Related unmaintained woods that do NOT qualify as forest land and other areas that can not stand alone as a separate UNFLU will be treated as an inclusion in the park. Obvious public roads that do not exclusively serve the park should be considered Rights-of-Ways and mapped as a separate condition. Ownership by a parks department or other public agency does not, by itself, determine the UNFLU to be 331. Maintenance or development as described above must be present. Developed recreational trails running through narrow corridors that would have otherwise been considered inclusions in the surrounding condition serve as the evidence necessary to call such areas Parks as opposed to inclusions.",N
332,GolfCourse,"Golf courses. This category includes associated access roads, buildings and associated green space/hardscape (maintained and unmaintained) while excluding obvious public roads which would be considered Rights-of-Ways.",N
340,MiningWasteland,"Mining and wasteland
Note: Code 340 must be at least 1 acre in size and 120.0 feet in width.
Surface mining, gravel pits, dumps, landfills or reclaimed mining areas that are at least 1 acre and 120.0 feet in width. Note: Reclaimed mining areas are not always nonforest. Some trees such as black locust readily adapt to reclaimed areas. If the 10 %canopy cover requirement is met, the land is considered forest land. The field crew will make the decision of whether the land is productive or unproductive. Reclaimed mine areas should remain in this land use until either the 10% canopy cover threshold is met for accessible forest land or another nonforest land use applies.",N
400,Other,"Other - Land parcels greater than 1.0 acre in size and greater than 120.0 feet wide, which do not fall into one of the uses described above. At times a URBAN CONDITION CLASS STATUS 2 condition may be made up of multiple nonforest land uses, some of which may not meet defined size requirements. In this case record the first nonforest land use that you encounter, regardless of size. Examples include undeveloped beaches, barren land (rock, sand), marshes, bogs, ice, and snow. Do not use this code for areas that can be considerd associated green space/hardscape (maintained or unmaintained) within the devloped series (300) land uses. Use the 400 code only for cases not better described by one of the following:",N
410,Nonvegetated,Nonvegetated,N
420,Wetland,"Wetland - Areas subjected to periodic tidal flooding or other areas where water is present for extended periods during the growing season and for longer periods during the non-growing season. Water usually comes from rainfall, snowmelt, a rising water table, groundwater seepage, or incoming tides. Water may be present on the surface of wetlands for varying periods, as in flooded or ponded wetlands, or it may simply keep the underlying soils saturated near the surface with no surface water present. Wetlands include bogs, marshes, salt marshes, swamps, meadows and fens. [Source: Tiner]
Bogs are not always nonforest. Some tree species such as black spruce can adapt to bog conditions. If the 10% canopy cover requirement is met, the land is considered forest land. The decision as to whether the land is productive or unproductive will be made by the field crews.
Swamps are not always nonforest. Some tree species readily adapt to the swamp conditions. If the 10% canopy cover requirement is met, the land is considered forest land. The decision of whether the land is productive or unproductive will be made by the field crews. Drained beaver ponds that are not stocked are included in this category.",N
430,Beach,Beach - Sandy or pebbly shore associated with an ocean or lake.,N
450,NonforestChaparral,Nonforest-Chaparral,N
900,Water,"All URBAN CONDITION CLASS STATUS = 3, 4 (Census and Noncensus Water) conditions.",N
910,Nonsampled,URBAN CONDITION CLASS STATUS = 5 AND has the potential to be forest land.,N
