DB_VAR,LABEL_VAR,VAR_GROUP,GROUP_ORDER,WITHIN_GROUP_ORDER,ATTRIBUTE_LIST,PAGE_LIST,ROW_LIST,COL_LIST,MAX_COLS,DECODE_STATEMENT,FUNCTION_NAME,PRC_METADATA,ATTRIBUTE_REF,SQL_SELECT,SQL_JOIN,SQL_GROUPBY,CN
cnd.mapden,Density class,,,,N,Y,Y,Y,5,ID_COND,"case coalesce(cnd.mapden,-1) when 1 then '`0001 Initial Density Class' when 2 then '`0002 Density Class 2' when 3 then '`0003 Density Class 3' when -1 then '`0004 Not available' else '`0005 Other'    end","The relative tree density of the condition. This classification is based on the number of stems/unit area, basal area, tree cover, or stocking of all live trees, seedlings, and saplings in the condition that are not overtopped. Any density other than Initial Density is used as an indication that a significant difference in tree density is the only factor causing another condition to be recognized on the plot.","SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_tree_density;","case coalesce(cnd.mapden,-1) when 1 then '`0001 Initial Density Class' when 2 then '`0002 Density Class 2' when 3 then '`0003 Density Class 3' when -1 then '`0004 Not available' else '`0005 Other'    end",,"case coalesce(cnd.mapden,-1) when 1 then '`0001 Initial Density Class' when 2 then '`0002 Density Class 2' when 3 then '`0003 Density Class 3' when -1 then '`0004 Not available' else '`0005 Other'    end",211101254991109
mtre.diacheck,Diameter check (mother tree),Measurement,10.0,1.0,Y,Y,Y,Y,5,ID_MOTHER_TREE,"case coalesce(mtre.diacheck,-1) when 0 then '`0001 Measured' when 1 then '`0002 Estimated' when 2 then '`0003 Moved measurement point' when -1 then '`0004 Not available' else '`0005 Other' end",The accuracy of the current diameter measurement.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_dia_check;","case coalesce(mtre.diacheck,-1) when 0 then '`0001 Measured' when 1 then '`0002 Estimated' when 2 then '`0003 Moved measurement point' when -1 then '`0004 Not available' else '`0005 Other' end",,"case coalesce(mtre.diacheck,-1) when 0 then '`0001 Measured' when 1 then '`0002 Estimated' when 2 then '`0003 Moved measurement point' when -1 then '`0004 Not available' else '`0005 Other' end",211101255991109
tre.diacheck,Diameter check (stem/tree),Measurement,10.0,2.0,Y,Y,Y,Y,5,ID_TREE,"case coalesce(tre.diacheck,-1) when 0 then '`0001 Measured' when 1 then '`0002 Estimated' when 2 then '`0003 Moved measurement point' when -1 then '`0004 Not available' else '`0005 Other' end",The accuracy of the current diameter measurement.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_dia_check;","case coalesce(tre.diacheck,-1) when 0 then '`0001 Measured' when 1 then '`0002 Estimated' when 2 then '`0003 Moved measurement point' when -1 then '`0004 Not available' else '`0005 Other' end",,"case coalesce(tre.diacheck,-1) when 0 then '`0001 Measured' when 1 then '`0002 Estimated' when 2 then '`0003 Moved measurement point' when -1 then '`0004 Not available' else '`0005 Other' end",211101234991109
mtre.dia,"Diameter, 2-inch classes (mother tree)",Tree size,2.0,2.0,Y,Y,Y,Y,13,ID_MOTHER_TREE,"case  when coalesce(mtre.dia,-1) = -1 then '`0016 Not available' when mtre.dia = 0 then '`0016 not measured' when mtre.dia is null then '`0016 not measured' when mtre.dia = least(mtre.dia,2.99) then '`0001 1.0-2.9' when mtre.dia = least(mtre.dia,4.99) then '`0002 3.0-4.9' when mtre.dia = least(mtre.dia,6.99) then '`0003 5.0-6.9' when mtre.dia = least(mtre.dia,8.99) then '`0004 7.0-8.9' when mtre.dia = least(mtre.dia,10.99) then '`0005 9.0-10.9' when mtre.dia = least(mtre.dia,12.99) then '`0006 11.0-12.9' when mtre.dia = least(mtre.dia,14.99) then '`0007 13.0-14.9' when mtre.dia = least(mtre.dia,16.99) then '`0008 15.0-16.9' when mtre.dia = least(mtre.dia,18.99) then '`0009 17.0-18.9' when mtre.dia = least(mtre.dia,20.99) then '`0010 19.0-20.9' when mtre.dia = least(mtre.dia,22.99) then '`0011 21.0-22.9' when mtre.dia = least(mtre.dia,24.99) then '`0012 23.0-24.9' when mtre.dia = least(mtre.dia,26.99) then '`0013 25.0-26.9' when mtre.dia = least(mtre.dia,28.99) then '`0014 27.0-28.9' else '`0015 29.0+' end","Mother tree diameter binned in fifteen 2-inch classes, with the largest bin containing diameters 29 inches and greater.",,"case  when coalesce(mtre.dia,-1) = -1 then '`0016 Not available' when mtre.dia = 0 then '`0016 not measured' when mtre.dia is null then '`0016 not measured' when mtre.dia = least(mtre.dia,2.99) then '`0001 1.0-2.9' when mtre.dia = least(mtre.dia,4.99) then '`0002 3.0-4.9' when mtre.dia = least(mtre.dia,6.99) then '`0003 5.0-6.9' when mtre.dia = least(mtre.dia,8.99) then '`0004 7.0-8.9' when mtre.dia = least(mtre.dia,10.99) then '`0005 9.0-10.9' when mtre.dia = least(mtre.dia,12.99) then '`0006 11.0-12.9' when mtre.dia = least(mtre.dia,14.99) then '`0007 13.0-14.9' when mtre.dia = least(mtre.dia,16.99) then '`0008 15.0-16.9' when mtre.dia = least(mtre.dia,18.99) then '`0009 17.0-18.9' when mtre.dia = least(mtre.dia,20.99) then '`0010 19.0-20.9' when mtre.dia = least(mtre.dia,22.99) then '`0011 21.0-22.9' when mtre.dia = least(mtre.dia,24.99) then '`0012 23.0-24.9' when mtre.dia = least(mtre.dia,26.99) then '`0013 25.0-26.9' when mtre.dia = least(mtre.dia,28.99) then '`0014 27.0-28.9' else '`0015 29.0+' end",,"case  when coalesce(mtre.dia,-1) = -1 then '`0016 Not available' when mtre.dia = 0 then '`0016 not measured' when mtre.dia is null then '`0016 not measured' when mtre.dia = least(mtre.dia,2.99) then '`0001 1.0-2.9' when mtre.dia = least(mtre.dia,4.99) then '`0002 3.0-4.9' when mtre.dia = least(mtre.dia,6.99) then '`0003 5.0-6.9' when mtre.dia = least(mtre.dia,8.99) then '`0004 7.0-8.9' when mtre.dia = least(mtre.dia,10.99) then '`0005 9.0-10.9' when mtre.dia = least(mtre.dia,12.99) then '`0006 11.0-12.9' when mtre.dia = least(mtre.dia,14.99) then '`0007 13.0-14.9' when mtre.dia = least(mtre.dia,16.99) then '`0008 15.0-16.9' when mtre.dia = least(mtre.dia,18.99) then '`0009 17.0-18.9' when mtre.dia = least(mtre.dia,20.99) then '`0010 19.0-20.9' when mtre.dia = least(mtre.dia,22.99) then '`0011 21.0-22.9' when mtre.dia = least(mtre.dia,24.99) then '`0012 23.0-24.9' when mtre.dia = least(mtre.dia,26.99) then '`0013 25.0-26.9' when mtre.dia = least(mtre.dia,28.99) then '`0014 27.0-28.9' else '`0015 29.0+' end",211101256991109
cnd.site_class_cd,Site productivity,Forest characteristics,8.0,4.0,Y,Y,Y,Y,9,ID_COND,"case coalesce(cnd.site_class_cd,-1) when 1 then '`0001 225+ cuft/ac/yr' when 2 then '`0002 165-224 cuft/ac/yr' when 3 then '`0003 120-164 cuft/ac/yr' when 4 then '`0004 85-119 cuft/ac/yr' when 5 then '`0005 50-84 cuft/ac/yr' when 6 then '`0006 20-49 cuft/ac/yr' when 7 then '`0007 0-19 cuft/ac/yr' when -1 then '`0008 Not available' else '`0009 Other'    end",The estimated productivity for the condition in terms of cubic feet per acre per year.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_site_class_code  order by value;","case coalesce(cnd.site_class_cd,-1) when 1 then '`0001 225+ cuft/ac/yr' when 2 then '`0002 165-224 cuft/ac/yr' when 3 then '`0003 120-164 cuft/ac/yr' when 4 then '`0004 85-119 cuft/ac/yr' when 5 then '`0005 50-84 cuft/ac/yr' when 6 then '`0006 20-49 cuft/ac/yr' when 7 then '`0007 0-19 cuft/ac/yr' when -1 then '`0008 Not available' else '`0009 Other'    end",,"case coalesce(cnd.site_class_cd,-1) when 1 then '`0001 225+ cuft/ac/yr' when 2 then '`0002 165-224 cuft/ac/yr' when 3 then '`0003 120-164 cuft/ac/yr' when 4 then '`0004 85-119 cuft/ac/yr' when 5 then '`0005 50-84 cuft/ac/yr' when 6 then '`0006 20-49 cuft/ac/yr' when 7 then '`0007 0-19 cuft/ac/yr' when -1 then '`0008 Not available' else '`0009 Other'    end",211101275991109
cnd.productivity_status,Site productivity status,Forest characteristics,8.0,3.0,Y,Y,Y,Y,4,ID_COND,"case coalesce(cnd.productivity_status,-1) when 0 then '`0001 Unproductive' when 1 then '`0002 Productive' when -1 then '`0003 Not available' else '`0004 Other'    end",The classification of whether or not a forested condition is considered productive.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_productivity_status;","case coalesce(cnd.productivity_status,-1) when 0 then '`0001 Unproductive' when 1 then '`0002 Productive' when -1 then '`0003 Not available' else '`0004 Other'    end",,"case coalesce(cnd.productivity_status,-1) when 0 then '`0001 Unproductive' when 1 then '`0002 Productive' when -1 then '`0003 Not available' else '`0004 Other'    end",211101276991109
tre.spcd,Species common name,Species,3.0,4.0,Y,N,Y,N,2669,ID_TREE,fs_fiadb_urban.NUTS_FUNCTIONS.spcdlabel(tre.spcd),An FIA numeric code and common name identifying the tree species.,,"'`' || CASE WHEN REF_SPECIES_COM.SPCD IS NULL THEN '9999' ELSE lpad(REF_SPECIES_COM.SPCD, 4, '0') END || case when REF_SPECIES_COM.SPCD is null then 'Other or Unknown' else ' SPCD ' || LPAD(REF_SPECIES_COM.SPCD, 4, '0') || ' - ' || REF_SPECIES_COM.COMMON_NAME || ' (' || REF_SPECIES_COM.GENUS ||' ' || REF_SPECIES_COM.SPECIES || case when REF_SPECIES_COM.VARIETY is null then ')' else ' ' || REF_SPECIES_COM.VARIETY || ')' end end",left outer join FS_FIADB.REF_SPECIES REF_SPECIES on (TRE.SPCD = REF_SPECIES_COM.SPCD),"'`' || CASE WHEN REF_SPECIES_COM.SPCD IS NULL THEN '9999' ELSE lpad(REF_SPECIES_COM.SPCD, 4, '0') END || case when REF_SPECIES_COM.SPCD is null then 'Other or Unknown' else ' SPCD ' || LPAD(REF_SPECIES_COM.SPCD, 4, '0') || ' - ' || REF_SPECIES_COM.COMMON_NAME || ' (' || REF_SPECIES_COM.GENUS ||' ' || REF_SPECIES_COM.SPECIES || case when REF_SPECIES_COM.VARIETY is null then ')' else ' ' || REF_SPECIES_COM.VARIETY || ')' end end",211101236991109
tre.spgrpcd,Species group,Species,3.0,6.0,Y,Y,Y,Y,5,ID_TREE,"fs_fiadb_urban.NUTS_FUNCTIONS.SPGRPCDLABEL(tre.spgrpcd, tre.statecd, tre.spcd)",The general grouping of similar tree species for the purposes of organization and reporting.,,"'`' || CASE WHEN REF_SPECIES_GROUP_TREE.SPGRPCD IS NULL THEN '99999' ELSE lpad(REF_SPECIES_GROUP_TREE.SPGRPCD, 5, '0') END || ' ' || CASE WHEN REF_SPECIES_GROUP_TREE.NAME IS NULL THEN 'Other or Unknown' WHEN REF_SPECIES_GROUP_TREE.SPGRPCD = 37 THEN 'Cottonwood and aspen (East)' WHEN REF_SPECIES_GROUP_TREE.SPGRPCD = 44 THEN 'Cottonwood and aspen (West)' ELSE REF_SPECIES_GROUP_TREE.NAME END","LEFT OUTER JOIN FS_FIADB.REF_SPECIES_GROUP REF_SPECIES_GROUP ON (REF_SPECIES_GROUP_TREE.SPGRPCD = CASE WHEN TRE.STATECD IN (46, 38, 31, 20) AND TRE.SPCD = 122 THEN 11 ELSE TRE.SPGRPCD END)","'`' || CASE WHEN REF_SPECIES_GROUP_TREE.SPGRPCD IS NULL THEN '99999' ELSE lpad(REF_SPECIES_GROUP_TREE.SPGRPCD, 5, '0') END || ' ' || CASE WHEN REF_SPECIES_GROUP_TREE.NAME IS NULL THEN 'Other or Unknown' WHEN REF_SPECIES_GROUP_TREE.SPGRPCD = 37 THEN 'Cottonwood and aspen (East)' WHEN REF_SPECIES_GROUP_TREE.SPGRPCD = 44 THEN 'Cottonwood and aspen (West)' ELSE REF_SPECIES_GROUP_TREE.NAME END",211101231991109
tre.spcd,Species scientific name,Species,3.0,5.0,Y,N,Y,N,2669,ID_TREE,fs_fiadb_urban.NUTS_FUNCTIONS.spcdlatinlabel(tre.spcd),An FIA numeric code and scientific name identifying the tree species.,,"'`' || CASE WHEN REF_SPECIES_SCI.SPCD IS NULL THEN '9999' ELSE lpad(REF_SPECIES_SCI.SPCD, 4, '0') END || case when REF_SPECIES_SCI.SPCD is null then 'Other or Unknown' else ' SPCD ' || LPAD(REF_SPECIES_SCI.SPCD, 4, '0') || ' - ' || REF_SPECIES_SCI.COMMON_NAME || ' (' || REF_SPECIES_SCI.GENUS ||' ' || REF_SPECIES_SCI.SPECIES || case when REF_SPECIES_SCI.VARIETY is null then ')' else ' ' || REF_SPECIES_SCI.VARIETY || ')' end end",left outer join FS_FIADB.REF_SPECIES REF_SPECIES on (TRE.SPCD = REF_SPECIES_SCI.SPCD),"'`' || CASE WHEN REF_SPECIES_SCI.SPCD IS NULL THEN '9999' ELSE lpad(REF_SPECIES_SCI.SPCD, 4, '0') END || case when REF_SPECIES_SCI.SPCD is null then 'Other or Unknown' else ' SPCD ' || LPAD(REF_SPECIES_SCI.SPCD, 4, '0') || ' - ' || REF_SPECIES_SCI.COMMON_NAME || ' (' || REF_SPECIES_SCI.GENUS ||' ' || REF_SPECIES_SCI.SPECIES || case when REF_SPECIES_SCI.VARIETY is null then ')' else ' ' || REF_SPECIES_SCI.VARIETY || ')' end end",211101282991109
cnd.disturbance_cd1,Stand disturbance 1,Forest characteristics,8.0,10.0,Y,Y,Y,Y,33,ID_COND,"case coalesce(cnd.disturbance_cd1,-1)when 00 then '`0001 None - no observable disturbance' when 10 then '`0002 Insect damage (to both understory vegetation and trees)' when 11 then '`0003 insect damage to understory vegetation' when 12 then '`0004 insect damage to trees, including seedlings and saplings' when 20 then '`0005 Disease damage (to both understory vegetation and trees)' when 21 then '`0006 Vegetat' when 22 then '`0007 disease damage to trees, including seedlings and saplings' when 30 then '`0008 Fire (from crown and ground fire, either prescribed or natural)' when 31 then '`0009 ground fire' when 32 then '`0010 crown fire' when 40 then '`0011 Animal damage (other than listed below)' when 41 then '`0012 beaver (includes flooding caused by beaver)' when 42 then '`0013 porcupine' when 43 then '`0014 deer/ungulate' when 44 then '`0015 bear (CORE OPTIONAL)' when 45 then '`0016 rabbit (CORE OPTIONAL)' when 46 then '`0017 domestic animal/livestock (includes grazing)' when 50 then '`0018 Weather damage (other than listed below)' when 51 then '`0019 ice' when 52 then '`0020 wind (includes hurricane, tornado)' when 53 then '`0021 flooding (weather induced' when 54 then '`0022 drought' when 60 then '`0023 Vegetation (suppression, competition, vines)' when 70 then '`0024 Unknown/not sure/other' when 80 then '`0025 Human-caused damage' when 90 then '`0026 Geologic disturbances' when 91 then '`0027 landslide' when 92 then '`0028 avalanche track' when 93 then '`0029 volcanic blast zone' when 94 then '`0030 other geologic event' when 95 then '`0031 earth movement/avalanches' when -1 then '`0032 Not available'else '`0033 Other'end",The first disturbance present in the condition occurring since the last measurement or within the last 5 years.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_disturbance ORDER BY VALUE;","case coalesce(cnd.disturbance_cd1,-1)when 00 then '`0001 None - no observable disturbance' when 10 then '`0002 Insect damage (to both understory vegetation and trees)' when 11 then '`0003 insect damage to understory vegetation' when 12 then '`0004 insect damage to trees, including seedlings and saplings' when 20 then '`0005 Disease damage (to both understory vegetation and trees)' when 21 then '`0006 Vegetat' when 22 then '`0007 disease damage to trees, including seedlings and saplings' when 30 then '`0008 Fire (from crown and ground fire, either prescribed or natural)' when 31 then '`0009 ground fire' when 32 then '`0010 crown fire' when 40 then '`0011 Animal damage (other than listed below)' when 41 then '`0012 beaver (includes flooding caused by beaver)' when 42 then '`0013 porcupine' when 43 then '`0014 deer/ungulate' when 44 then '`0015 bear (CORE OPTIONAL)' when 45 then '`0016 rabbit (CORE OPTIONAL)' when 46 then '`0017 domestic animal/livestock (includes grazing)' when 50 then '`0018 Weather damage (other than listed below)' when 51 then '`0019 ice' when 52 then '`0020 wind (includes hurricane, tornado)' when 53 then '`0021 flooding (weather induced' when 54 then '`0022 drought' when 60 then '`0023 Vegetation (suppression, competition, vines)' when 70 then '`0024 Unknown/not sure/other' when 80 then '`0025 Human-caused damage' when 90 then '`0026 Geologic disturbances' when 91 then '`0027 landslide' when 92 then '`0028 avalanche track' when 93 then '`0029 volcanic blast zone' when 94 then '`0030 other geologic event' when 95 then '`0031 earth movement/avalanches' when -1 then '`0032 Not available'else '`0033 Other'end",,"case coalesce(cnd.disturbance_cd1,-1)when 00 then '`0001 None - no observable disturbance' when 10 then '`0002 Insect damage (to both understory vegetation and trees)' when 11 then '`0003 insect damage to understory vegetation' when 12 then '`0004 insect damage to trees, including seedlings and saplings' when 20 then '`0005 Disease damage (to both understory vegetation and trees)' when 21 then '`0006 Vegetat' when 22 then '`0007 disease damage to trees, including seedlings and saplings' when 30 then '`0008 Fire (from crown and ground fire, either prescribed or natural)' when 31 then '`0009 ground fire' when 32 then '`0010 crown fire' when 40 then '`0011 Animal damage (other than listed below)' when 41 then '`0012 beaver (includes flooding caused by beaver)' when 42 then '`0013 porcupine' when 43 then '`0014 deer/ungulate' when 44 then '`0015 bear (CORE OPTIONAL)' when 45 then '`0016 rabbit (CORE OPTIONAL)' when 46 then '`0017 domestic animal/livestock (includes grazing)' when 50 then '`0018 Weather damage (other than listed below)' when 51 then '`0019 ice' when 52 then '`0020 wind (includes hurricane, tornado)' when 53 then '`0021 flooding (weather induced' when 54 then '`0022 drought' when 60 then '`0023 Vegetation (suppression, competition, vines)' when 70 then '`0024 Unknown/not sure/other' when 80 then '`0025 Human-caused damage' when 90 then '`0026 Geologic disturbances' when 91 then '`0027 landslide' when 92 then '`0028 avalanche track' when 93 then '`0029 volcanic blast zone' when 94 then '`0030 other geologic event' when 95 then '`0031 earth movement/avalanches' when -1 then '`0032 Not available'else '`0033 Other'end",211101279991109
tre.dia,"Diameter, 2-inch classes (stem/tree)",Tree size,2.0,3.0,Y,Y,Y,Y,13,ID_TREE,"case  when coalesce(tre.dia,-1) = -1 then '`0016 Not available' when tre.dia = 0 then '`0016 not measured' when tre.dia is null then '`0016 not measured' when tre.dia = least(tre.dia,2.99) then '`0001 1.0-2.9' when tre.dia = least(tre.dia,4.99) then '`0002 3.0-4.9' when tre.dia = least(tre.dia,6.99) then '`0003 5.0-6.9' when tre.dia = least(tre.dia,8.99) then '`0004 7.0-8.9' when tre.dia = least(tre.dia,10.99) then '`0005 9.0-10.9' when tre.dia = least(tre.dia,12.99) then '`0006 11.0-12.9' when tre.dia = least(tre.dia,14.99) then '`0007 13.0-14.9' when tre.dia = least(tre.dia,16.99) then '`0008 15.0-16.9' when tre.dia = least(tre.dia,18.99) then '`0009 17.0-18.9' when tre.dia = least(tre.dia,20.99) then '`0010 19.0-20.9' when tre.dia = least(tre.dia,22.99) then '`0011 21.0-22.9' when tre.dia = least(tre.dia,24.99) then '`0012 23.0-24.9' when tre.dia = least(tre.dia,26.99) then '`0013 25.0-26.9' when tre.dia = least(tre.dia,28.99) then '`0014 27.0-28.9' else '`0015 29.0+' end","Tree diameter binned in fifteen 2-inch classes, with the largest bin containing diameters 29 inches and greater.",,"case  when coalesce(tre.dia,-1) = -1 then '`0016 Not available' when tre.dia = 0 then '`0016 not measured' when tre.dia is null then '`0016 not measured' when tre.dia = least(tre.dia,2.99) then '`0001 1.0-2.9' when tre.dia = least(tre.dia,4.99) then '`0002 3.0-4.9' when tre.dia = least(tre.dia,6.99) then '`0003 5.0-6.9' when tre.dia = least(tre.dia,8.99) then '`0004 7.0-8.9' when tre.dia = least(tre.dia,10.99) then '`0005 9.0-10.9' when tre.dia = least(tre.dia,12.99) then '`0006 11.0-12.9' when tre.dia = least(tre.dia,14.99) then '`0007 13.0-14.9' when tre.dia = least(tre.dia,16.99) then '`0008 15.0-16.9' when tre.dia = least(tre.dia,18.99) then '`0009 17.0-18.9' when tre.dia = least(tre.dia,20.99) then '`0010 19.0-20.9' when tre.dia = least(tre.dia,22.99) then '`0011 21.0-22.9' when tre.dia = least(tre.dia,24.99) then '`0012 23.0-24.9' when tre.dia = least(tre.dia,26.99) then '`0013 25.0-26.9' when tre.dia = least(tre.dia,28.99) then '`0014 27.0-28.9' else '`0015 29.0+' end",,"case  when coalesce(tre.dia,-1) = -1 then '`0016 Not available' when tre.dia = 0 then '`0016 not measured' when tre.dia is null then '`0016 not measured' when tre.dia = least(tre.dia,2.99) then '`0001 1.0-2.9' when tre.dia = least(tre.dia,4.99) then '`0002 3.0-4.9' when tre.dia = least(tre.dia,6.99) then '`0003 5.0-6.9' when tre.dia = least(tre.dia,8.99) then '`0004 7.0-8.9' when tre.dia = least(tre.dia,10.99) then '`0005 9.0-10.9' when tre.dia = least(tre.dia,12.99) then '`0006 11.0-12.9' when tre.dia = least(tre.dia,14.99) then '`0007 13.0-14.9' when tre.dia = least(tre.dia,16.99) then '`0008 15.0-16.9' when tre.dia = least(tre.dia,18.99) then '`0009 17.0-18.9' when tre.dia = least(tre.dia,20.99) then '`0010 19.0-20.9' when tre.dia = least(tre.dia,22.99) then '`0011 21.0-22.9' when tre.dia = least(tre.dia,24.99) then '`0012 23.0-24.9' when tre.dia = least(tre.dia,26.99) then '`0013 25.0-26.9' when tre.dia = least(tre.dia,28.99) then '`0014 27.0-28.9' else '`0015 29.0+' end",211101233991109
mtre.dia,"Diameter, 3 classes (mother tree)",Tree size,2.0,1.0,Y,Y,Y,Y,4,ID_MOTHER_TREE,"case  when coalesce(mtre.dia,-1) = -1 then '`0004 Not available' when mtre.dia = 0 then '`0004 Not measured' when mtre.dia is null then '`0004 Not measured' when mtre.dia = least(mtre.dia,4.99) then '`0001 1.0-4.9' when mtre.dia = least(mtre.dia,10.99) then '`0002 5.0-10.9' else '`0003 11.0+' end",Mother tree diameter binned in 3 classes: 1-4.9 inch; 5-10.9 inch; 11 inches and greater.,,"case  when coalesce(mtre.dia,-1) = -1 then '`0004 Not available' when mtre.dia = 0 then '`0004 Not measured' when mtre.dia is null then '`0004 Not measured' when mtre.dia = least(mtre.dia,4.99) then '`0001 1.0-4.9' when mtre.dia = least(mtre.dia,10.99) then '`0002 5.0-10.9' else '`0003 11.0+' end",,"case  when coalesce(mtre.dia,-1) = -1 then '`0004 Not available' when mtre.dia = 0 then '`0004 Not measured' when mtre.dia is null then '`0004 Not measured' when mtre.dia = least(mtre.dia,4.99) then '`0001 1.0-4.9' when mtre.dia = least(mtre.dia,10.99) then '`0002 5.0-10.9' else '`0003 11.0+' end",1506152608290487
tre.dmg_excess_mulch,Excessive mulching,Tree damages,6.0,2.0,Y,Y,Y,Y,4,ID_TREE,"case coalesce(tre.dmg_excess_mulch,-1) when 0 then '`0001 Absent' when 1 then '`0002 Present' when -1 then '`0003 Not available'else '`0004 Other'end",Indication of whether or not excessive mulching is present. Excessive mulching occurs when mulch is piled high around the stem at a depth greater than 3 inches. Mulch can take the form of many different materials and is not limited to wood chips.,,"case coalesce(tre.dmg_excess_mulch,-1) when 0 then '`0001 Absent' when 1 then '`0002 Present' when -1 then '`0003 Not available' else '`0004 Other' end",,"case coalesce(tre.dmg_excess_mulch,-1) when 0 then '`0001 Absent' when 1 then '`0002 Present' when -1 then '`0003 Not available'else '`0004 Other'end",211101248991109
ispcnd.growth_habit,Growth habit,Invasive species,7.0,3.0,Y,Y,Y,Y,83,ID_INVASIVE_SUBP_COND,"CASE WHEN rpd.symbol_type = 'Old' THEN COALESCE(rpdn.growth_habit,'Not available') ELSE COALESCE(rpd.growth_habit, 'Not available') END","The growth habit of the invasive species, based on USDA Natural Resources Conservation Service PLANTS (Plant List of Attributes, Names, Taxonomy, and Symbols) Database.",,'`' || CASE WHEN RPD_GH.symbol_type = 'Old' THEN CASE WHEN RPDN_GH.growth_habit IS NULL THEN '9999 Not available' ELSE GHN.LABEL_ORDER || ' ' || GHN.growth_habit END ELSE CASE WHEN RPD_GH.growth_habit IS NULL THEN '9999 Not available' ELSE GH.LABEL_ORDER || ' ' || GH.growth_habit END END,"JOIN FS_FIADB_URBAN.REF_PLANT_DICTIONARY RPD_GH ON (ISPCND.SPECIES_SYMBOL = RPD_GH.SYMBOL) LEFT JOIN FS_FIADB_URBAN.REF_PLANT_DICTIONARY RPDN_GH ON (RPD_GH.NEW_SYMBOL = RPDN_GH.SYMBOL) LEFT JOIN (SELECT LPAD(ROWNUM,4,'0') AS LABEL_ORDER, GROWTH_HABIT FROM (SELECT GROWTH_HABIT from FS_FIADB_URBAN.REF_PLANT_DICTIONARY group by GROWTH_HABIT order by GROWTH_HABIT)) GH on (RPD_GH.GROWTH_HABIT = GH.GROWTH_HABIT) LEFT JOIN (SELECT LPAD(ROWNUM,4,'0') AS LABEL_ORDER, GROWTH_HABIT FROM (SELECT GROWTH_HABIT from FS_FIADB_URBAN.REF_PLANT_DICTIONARY group by GROWTH_HABIT order by GROWTH_HABIT)) GHN on (RPDN_GH.GROWTH_HABIT = GHN.GROWTH_HABIT)",'`' || CASE WHEN RPD_GH.symbol_type = 'Old' THEN CASE WHEN RPDN_GH.growth_habit IS NULL THEN '9999 Not available' ELSE GHN.LABEL_ORDER || ' ' || GHN.growth_habit END ELSE CASE WHEN RPD_GH.growth_habit IS NULL THEN '9999 Not available' ELSE GH.LABEL_ORDER || ' ' || GH.growth_habit END END,1622304046290488
tre.dmg_improper_planting,Improper planting,Tree damages,6.0,3.0,Y,Y,Y,Y,4,ID_TREE,"case coalesce(tre.dmg_improper_planting,-1) when 0 then '`0001 Absent' when 1 then '`0002 Present' when -1 then '`0003 Not available'else '`0004 Other'end","Indication of whether or not improper planted is observed. Improper planting occurs when burlap, twine, or root ball wires are not removed prior to planting, or when the tree root flare is buried.",,"case coalesce(tre.dmg_improper_planting,-1) when 0 then '`0001 Absent' when 1 then '`0002 Present' when -1 then '`0003 Not available' else '`0004 Other' end",,"case coalesce(tre.dmg_improper_planting,-1) when 0 then '`0001 Absent' when 1 then '`0002 Present' when -1 then '`0003 Not available'else '`0004 Other'end",211101249991109
ispcnd.species_symbol,Ispcnd Common name,Invasive species,7.0,2.0,Y,Y,Y,Y,41771,ID_INVASIVE_SUBP_COND,CASE WHEN rpd.symbol_type = 'Old' THEN rpdn.common_name || ' (' ELSE rpd.common_name || ' (' END || CASE WHEN rpd.symbol_type = 'Old' THEN rpdn.scientific_name || ')' ELSE rpd.scientific_name || ')' END,"The common name of the invasive species, based on USDA Natural Resources Conservation Service PLANTS (Plant List of Attributes, Names, Taxonomy, and Symbols) Database.",,'`' || CASE WHEN RPD_COM.symbol_type = 'Old' THEN RPDN_COM.symbol || ' ' ||RPDN_COM.common_name || ' (' ELSE RPD_COM.symbol ||  ' ' || RPD_COM.common_name || ' (' END || CASE WHEN RPD_COM.symbol_type = 'Old' THEN RPDN_COM.scientific_name || ')' ELSE RPD_COM.scientific_name || ')' END,JOIN FS_FIADB_URBAN.REF_PLANT_DICTIONARY RPD_COM ON (ISPCND.SPECIES_SYMBOL = RPD_COM.SYMBOL) LEFT JOIN FS_FIADB_URBAN.REF_PLANT_DICTIONARY RPDN_COM ON (RPD_COM.NEW_SYMBOL = RPDN_COM.SYMBOL),'`' || CASE WHEN RPD_COM.symbol_type = 'Old' THEN RPDN_COM.symbol || ' ' ||RPDN_COM.common_name || ' (' ELSE RPD_COM.symbol ||  ' ' || RPD_COM.common_name || ' (' END || CASE WHEN RPD_COM.symbol_type = 'Old' THEN RPDN_COM.scientific_name || ')' ELSE RPD_COM.scientific_name || ')' END,1622304048290488
